category	cell_type	cell_type_clean	file_num	mark	cell_type_clean2
CNS	BI.Brain_Angular_Gyrus_peaks.bed	Angular_gyrus	162	H3K9ac	Angular gyrus
CNS	BI.Brain_Anterior_Caudate_peaks.bed	Anterior_caudate	163	H3K9ac	Anterior caudate
CNS	BI.Brain_Cingulate_Gyrus_peaks.bed	Cingulate_gyrus	164	H3K9ac	Cingulate gyrus
CNS	BI.Brain_Hippocampus_Middle_peaks.bed	Hippocampus_middle	165	H3K9ac	Hippocampus middle
CNS	BI.Brain_Inferior_Temporal_Lobe_peaks.bed	Inferior_temporal_lobe	166	H3K9ac	Inferior temporal lobe
CNS	BI.Brain_Mid_Frontal_Lobe_peaks.bed	Mid_frontal_lobe	167	H3K9ac	Mid frontal lobe
CNS	BI.Brain_Substantia_Nigra_peaks.bed	Substantia_nigra	168	H3K9ac	Substantia nigra
GI	BI.Colonic_Mucosa_peaks.bed	Colonic_mucosa	169	H3K9ac	Colonic mucosa
GI	BI.Colon_Smooth_Muscle_peaks.bed	Colon_smooth_muscle	170	H3K9ac	Colon smooth muscle
GI	BI.Duodenum_Mucosa_peaks.bed	Duodenum_Mucosa	171	H3K9ac	Duodenum Mucosa
Cardiovascular	BI.Fetal_Heart_peaks.bed	Fetal_heart	172	H3K9ac	Fetal heart
Kidney	BI.Fetal_Kidney_peaks.bed	Fetal_kidney	173	H3K9ac	Fetal kidney
Cardiovascular	BI.Fetal_Lung_peaks.bed	Fetal_lung	174	H3K9ac	Fetal lung
Adrenal_Pancreas	BI.Pancreatic_Islets_peaks.bed	Pancreatic_islets	175	H3K9ac	Pancreatic islets
GI	BI.Rectal_Mucosa_peaks.bed	Rectal_mucosa	176	H3K9ac	Rectal mucosa
GI	BI.Rectal_Smooth_Muscle_peaks.bed	Rectal_smooth_muscle	177	H3K9ac	Rectal smooth muscle
SkeletalMuscle	BI.Skeletal_Muscle_peaks.bed	Skeletal_muscle	178	H3K9ac	Skeletal muscle
GI	BI.Stomach_Mucosa_peaks.bed	Stomach_mucosa	179	H3K9ac	Stomach mucosa
GI	BI.Stomach_Smooth_Muscle_peaks.bed	Stomach_smooth_muscle	180	H3K9ac	Stomach smooth muscle
Other	UCSF-UBC.Breast_Myoepithelial_Cells_peaks.bed	Breast_myoepithelial	181	H3K9ac	Breast myoepithelial
Hematopoietic	UCSF-UBC.CD8_Naive_Primary_Cells_peaks.bed	CD8_naive_primary_(UCSF-UBC)	182	H3K9ac	CD8 naive
CNS	UCSF-UBC.Fetal_Brain_peaks.bed	Fetal_brain	183	H3K9ac	Fetal brain
Other	UCSF-UBC.Penis_Foreskin_Keratinocyte_Primary_Cells_peaks.bed	Penis_foreskin_keratinocyte_primary	184	H3K9ac	Penis foreskin keratinocyte
Hematopoietic	UCSF-UBC.Peripheral_Blood_Mononuclear_Primary_Cells_peaks.bed	Peripheralblood_mononuclear_primary	185	H3K9ac	PBMC
Hematopoietic	CD3_Primary_Cells	CD3_primary	186	H3K27ac	CD3
Hematopoietic	CD25-_CD45RA+_naive	CD25-_CD45RA+_naive	187	H3K27ac	CD4+CD25-CD45RA+ naïve
Hematopoietic	CD25+_CD127-_Treg	CD25+_CD127-_Treg	188	H3K27ac	CD4+CD25+CD127- Treg
Hematopoietic	CD25int_CD127+_Tmem	CD25int_CD127+_Tmem	189	H3K27ac	CD4+CD25intCD127+ Tmem
Hematopoietic	CD25-_IL17+_Th17_stim	CD25-_IL17+_Th17_stim	190	H3K27ac	CD4+CD25-IL17+ stim Th17
Hematopoietic	CD25-_IL17-_Th_stim_MACS	CD25-_IL17-_Th_stim_MACS	191	H3K27ac	CD4+CD25-IL17- stim Th
Hematopoietic	Th0	Th0	192	H3K27ac	Th0
Hematopoietic	Th1	Th1	193	H3K27ac	Th1
Hematopoietic	Th2	Th2	194	H3K27ac	Th2
Hematopoietic	CD19	CD19	195	H3K27ac	CD19
Hematopoietic	adult_CD20	CD20	196	H3K27ac	CD20
Hematopoietic	adult_CD14	CD14	197	H3K27ac	CD14
Hematopoietic	Mobilized_CD34	Mobilized_CD34	198	H3K27ac	Mobilized CD34
Connective_Bone	NH-Osteoblast	Osteoblast	199	H3K27ac	Osteoblast
Connective_Bone	chondrogenic_dif_cells	Chondrogenic_dif	200	H3K27ac	Chondrogenic dif
